Timestamp,Event
1686583024382,Start
1686583024382,Spacebar
1686583024816,Spacebar
1686583025415,Spacebar
1686583025585,Spacebar
1686583026051,Spacebar
1686583026169,Spacebar
1686583026319,Spacebar
1686583026455,Spacebar
1686583026599,Spacebar
1686583027444,Spacebar
1686583027654,Spacebar
1686583028052,Spacebar
1686583028350,Spacebar
1686583028836,Spacebar
1686583029304,Spacebar
1686583029975,Spacebar
1686583030467,Spacebar
1686583030698,Spacebar
1686583031177,Spacebar
1686583031715,Spacebar
1686583031915,Spacebar
1686583032054,Spacebar
1686583032174,Spacebar
1686583032310,Spacebar
1686583032435,Spacebar
1686583032545,Over
1686583032550,Spacebar
1686583033984,Start
1686583034388,Spacebar
1686583034884,Spacebar
1686583035182,Spacebar
1686583035353,Spacebar
1686583035514,Spacebar
1686583035772,Spacebar
1686583036515,Spacebar
1686583036785,Spacebar
1686583037132,Spacebar
1686583037442,Spacebar
1686583037882,Spacebar
1686583038032,Spacebar
1686583038166,Spacebar
1686583038305,Spacebar
1686583039214,Spacebar
1686583039518,Spacebar
1686583039668,Spacebar
1686583039815,Spacebar
1686583039932,Spacebar
1686583040048,Spacebar
1686583040898,Spacebar
1686583041273,Spacebar
1686583041742,Spacebar
1686583042021,Spacebar
1686583042232,Spacebar
1686583042756,Spacebar
1686583043302,Spacebar
1686583043521,Spacebar
1686583043699,Spacebar
1686583043830,Spacebar
1686583043984,Spacebar
1686583044119,Spacebar
1686583044324,Spacebar
1686583044991,Spacebar
1686583045467,Spacebar
1686583045972,Spacebar
1686583046249,Spacebar
1686583046415,Spacebar
1686583046564,Spacebar
1686583046699,Spacebar
1686583047214,Spacebar
1686583047434,Spacebar
1686583048099,Spacebar
1686583048531,Spacebar
1686583048784,Spacebar
1686583048982,Spacebar
1686583049141,Spacebar
1686583049849,Spacebar
1686583050056,Spacebar
1686583050770,Spacebar
1686583051018,Spacebar
1686583051732,Spacebar
1686583052052,Spacebar
1686583052348,Spacebar
1686583052503,Spacebar
1686583052668,Spacebar
1686583053271,Spacebar
1686583053699,Spacebar
1686583054309,Spacebar
1686583054741,Spacebar
1686583055182,Spacebar
1686583055404,Spacebar
1686583055568,Spacebar
1686583055703,Spacebar
1686583055849,Spacebar
1686583055993,Spacebar
1686583056747,Spacebar
1686583057049,Spacebar
1686583057198,Spacebar
1686583057333,Spacebar
1686583057467,Spacebar
1686583057546,Over
1686583057593,Spacebar
1686583058750,Start
1686583059527,Spacebar
1686583059958,Spacebar
1686583060265,Spacebar
1686583060438,Spacebar
1686583060618,Spacebar
1686583060934,Spacebar
1686583061430,Spacebar
1686583061623,Spacebar
1686583062572,Spacebar
1686583062731,Spacebar
1686583062910,Spacebar
1686583063056,Spacebar
1686583063198,Spacebar
1686583063349,Spacebar
1686583063378,Over
1686583064590,Start
1686583064941,Spacebar
1686583065454,Spacebar
1686583065652,Spacebar
1686583065819,Spacebar
1686583066315,Spacebar
1686583066815,Spacebar
1686583066981,Spacebar
1686583067121,Spacebar
1686583067267,Spacebar
1686583067417,Spacebar
1686583067560,Spacebar
1686583068423,Spacebar
1686583068648,Spacebar
1686583069020,Spacebar
1686583069484,Spacebar
1686583069649,Spacebar
1686583069787,Spacebar
1686583069932,Spacebar
1686583070481,Spacebar
1686583070705,Spacebar
1686583071465,Spacebar
1686583071648,Spacebar
1686583071822,Spacebar
1686583071991,Spacebar
1686583072509,Spacebar
1686583072835,Spacebar
1686583072966,Spacebar
1686583073103,Spacebar
1686583073223,Spacebar
1686583073335,Spacebar
1686583073460,Spacebar
1686583074282,Spacebar
1686583074755,Spacebar
1686583075226,Spacebar
1686583075909,Spacebar
1686583076066,Spacebar
1686583076224,Spacebar
1686583076374,Spacebar
1686583076720,Spacebar
1686583077487,Spacebar
1686583077734,Spacebar
1686583078066,Spacebar
1686583078604,Spacebar
1686583078765,Spacebar
1686583078919,Spacebar
1686583079498,Spacebar
1686583079765,Spacebar
1686583080166,Spacebar
1686583080590,Spacebar
1686583080982,Spacebar
1686583081248,Spacebar
1686583081598,Spacebar
1686583082299,Spacebar
1686583082604,Spacebar
1686583082807,Spacebar
1686583083116,Spacebar
1686583083434,Spacebar
1686583083988,Spacebar
1686583084465,Spacebar
1686583085037,Spacebar
1686583085250,Spacebar
1686583085418,Spacebar
1686583085575,Spacebar
1686583085699,Spacebar
1686583085827,Spacebar
1686583085960,Spacebar
1686583086707,Spacebar
1686583087049,Spacebar
1686583087221,Spacebar
1686583087555,Spacebar
1686583088331,Spacebar
1686583088694,Spacebar
1686583089281,Spacebar
1686583089448,Spacebar
1686583089585,Spacebar
1686583089721,Spacebar
1686583089836,Spacebar
1686583089956,Spacebar
1686583090046,Over
1686583090070,Spacebar
1686583090188,Spacebar
1686583091338,Start
1686583091897,Spacebar
1686583092431,Spacebar
1686583092717,Spacebar
1686583093124,Spacebar
1686583093909,Spacebar
1686583094487,Spacebar
